"Time","CPU 0","CPU 1","CPU 10","CPU 11","CPU 2","CPU 3","CPU 4","CPU 5","CPU 6","CPU 7","CPU 8","CPU 9"
2026-06-04 16:29:30,751 ops/s,488 ops/s,771 ops/s,483 ops/s,771 ops/s,535 ops/s,748 ops/s,503 ops/s,749 ops/s,509 ops/s,747 ops/s,464 ops/s
2026-06-04 16:30:00,784 ops/s,502 ops/s,790 ops/s,499 ops/s,811 ops/s,525 ops/s,765 ops/s,497 ops/s,759 ops/s,497 ops/s,765 ops/s,484 ops/s
2026-06-04 16:30:30,800 ops/s,486 ops/s,763 ops/s,528 ops/s,780 ops/s,512 ops/s,758 ops/s,503 ops/s,766 ops/s,482 ops/s,761 ops/s,501 ops/s
2026-06-04 16:31:00,796 ops/s,505 ops/s,744 ops/s,516 ops/s,801 ops/s,521 ops/s,753 ops/s,519 ops/s,775 ops/s,484 ops/s,764 ops/s,517 ops/s
2026-06-04 16:31:30,784 ops/s,492 ops/s,733 ops/s,497 ops/s,791 ops/s,513 ops/s,748 ops/s,509 ops/s,788 ops/s,463 ops/s,765 ops/s,500 ops/s
2026-06-04 16:32:00,764 ops/s,525 ops/s,738 ops/s,469 ops/s,785 ops/s,514 ops/s,752 ops/s,526 ops/s,784 ops/s,454 ops/s,782 ops/s,465 ops/s
2026-06-04 16:32:30,801 ops/s,513 ops/s,777 ops/s,481 ops/s,751 ops/s,499 ops/s,773 ops/s,514 ops/s,785 ops/s,450 ops/s,795 ops/s,446 ops/s
2026-06-04 16:33:00,810 ops/s,522 ops/s,781 ops/s,509 ops/s,748 ops/s,496 ops/s,780 ops/s,540 ops/s,809 ops/s,474 ops/s,803 ops/s,459 ops/s
2026-06-04 16:33:30,802 ops/s,533 ops/s,793 ops/s,516 ops/s,753 ops/s,492 ops/s,776 ops/s,532 ops/s,797 ops/s,487 ops/s,802 ops/s,489 ops/s
2026-06-04 16:34:00,760 ops/s,532 ops/s,782 ops/s,525 ops/s,762 ops/s,498 ops/s,770 ops/s,528 ops/s,785 ops/s,477 ops/s,811 ops/s,498 ops/s
2026-06-04 16:34:30,730 ops/s,525 ops/s,764 ops/s,506 ops/s,742 ops/s,493 ops/s,752 ops/s,531 ops/s,760 ops/s,476 ops/s,778 ops/s,501 ops/s
2026-06-04 16:35:00,737 ops/s,501 ops/s,757 ops/s,495 ops/s,748 ops/s,519 ops/s,752 ops/s,504 ops/s,760 ops/s,474 ops/s,771 ops/s,492 ops/s
2026-06-04 16:35:30,742 ops/s,503 ops/s,771 ops/s,487 ops/s,746 ops/s,531 ops/s,738 ops/s,526 ops/s,770 ops/s,493 ops/s,771 ops/s,495 ops/s
2026-06-04 16:36:00,739 ops/s,504 ops/s,785 ops/s,499 ops/s,737 ops/s,531 ops/s,734 ops/s,502 ops/s,740 ops/s,482 ops/s,760 ops/s,478 ops/s
2026-06-04 16:36:30,728 ops/s,503 ops/s,770 ops/s,503 ops/s,749 ops/s,508 ops/s,743 ops/s,531 ops/s,743 ops/s,480 ops/s,732 ops/s,477 ops/s
2026-06-04 16:37:00,724 ops/s,488 ops/s,750 ops/s,490 ops/s,749 ops/s,484 ops/s,746 ops/s,505 ops/s,749 ops/s,472 ops/s,711 ops/s,479 ops/s
2026-06-04 16:37:30,747 ops/s,473 ops/s,754 ops/s,478 ops/s,765 ops/s,493 ops/s,758 ops/s,513 ops/s,760 ops/s,469 ops/s,740 ops/s,507 ops/s
2026-06-04 16:38:00,724 ops/s,458 ops/s,766 ops/s,484 ops/s,735 ops/s,495 ops/s,745 ops/s,512 ops/s,742 ops/s,472 ops/s,741 ops/s,486 ops/s
2026-06-04 16:38:30,728 ops/s,440 ops/s,769 ops/s,480 ops/s,709 ops/s,492 ops/s,735 ops/s,505 ops/s,724 ops/s,482 ops/s,727 ops/s,480 ops/s
2026-06-04 16:39:00,704 ops/s,457 ops/s,764 ops/s,492 ops/s,713 ops/s,493 ops/s,722 ops/s,507 ops/s,732 ops/s,498 ops/s,713 ops/s,459 ops/s
