Model,Input_Dim,Params,Model_Size_KB,Train_Time_sec,Precision,Recall,F1_Score,Best_Threshold
TCN,300,45394,628.578125,133.8160638809204,0.9897221776136181,0.9743873517786561,0.9819949012109624,0.40000000000000013
TCN_PCA_PPA,20,27474,417.3359375,109.2729275226593,0.9898827685884053,0.9745454545454545,0.9821542383683874,0.40000000000000013
TCN_3Kernels,300,80018,1111.7265625,779.8896362781525,0.9889281129653402,0.9743873517786561,0.9816038862785698,0.3500000000000001
TCN_3Kernels_PWConv,300,80018,1111.75,377.18616557121277,0.9978758169934641,0.9655335968379447,0.9814383286460427,0.45000000000000007
Proposed_TCN,20,15154,351.640625,256.48583936691284,0.9899054638679698,0.9767588932806324,0.9832882381028171,0.5500000000000002
