"Time","CPU 0 - Processed","CPU 1 - Processed","CPU 10 - Processed","CPU 11 - Processed","CPU 2 - Processed","CPU 3 - Processed","CPU 4 - Processed","CPU 5 - Processed","CPU 6 - Processed","CPU 7 - Processed","CPU 8 - Processed","CPU 9 - Processed","CPU 0 - Dropped","CPU 1 - Dropped","CPU 10 - Dropped","CPU 11 - Dropped","CPU 2 - Dropped","CPU 3 - Dropped","CPU 4 - Dropped","CPU 5 - Dropped","CPU 6 - Dropped","CPU 7 - Dropped","CPU 8 - Dropped","CPU 9 - Dropped"
2026-06-04 15:47:30,89.2 p/s,68.2 p/s,96.6 p/s,65.5 p/s,82.7 p/s,67.1 p/s,90.2 p/s,61.8 p/s,90.7 p/s,59.7 p/s,91.9 p/s,51.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:48:00,87.0 p/s,65.6 p/s,93.2 p/s,64.9 p/s,78.7 p/s,70.6 p/s,87.4 p/s,58.6 p/s,88.7 p/s,62.6 p/s,88.4 p/s,53.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:48:30,77.9 p/s,57.6 p/s,86.5 p/s,58.6 p/s,73.1 p/s,68.9 p/s,83.7 p/s,62.2 p/s,88.4 p/s,65.7 p/s,84.4 p/s,52.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:49:00,78.6 p/s,61.3 p/s,84.2 p/s,54.9 p/s,80.3 p/s,62.1 p/s,82.5 p/s,66.1 p/s,88.9 p/s,62.1 p/s,84.3 p/s,53.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:49:30,80.1 p/s,57.3 p/s,88.6 p/s,55.6 p/s,81.1 p/s,56.0 p/s,83.5 p/s,60.7 p/s,88.8 p/s,61.4 p/s,85.3 p/s,54.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:50:00,80.8 p/s,55.9 p/s,90.9 p/s,58.7 p/s,85.5 p/s,54.5 p/s,85.3 p/s,54.1 p/s,90.3 p/s,58.5 p/s,85.2 p/s,57.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:50:30,78.8 p/s,51.1 p/s,88.5 p/s,62.4 p/s,79.5 p/s,56.3 p/s,82.2 p/s,47.5 p/s,83.6 p/s,60.0 p/s,81.0 p/s,61.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:51:00,78.2 p/s,54.9 p/s,88.2 p/s,65.5 p/s,80.2 p/s,56.3 p/s,81.3 p/s,53.2 p/s,84.8 p/s,61.4 p/s,79.7 p/s,62.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:51:30,81.6 p/s,56.9 p/s,93.1 p/s,71.6 p/s,82.3 p/s,65.9 p/s,83.3 p/s,65.3 p/s,84.2 p/s,64.9 p/s,80.9 p/s,60.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:52:00,87.1 p/s,54.0 p/s,95.7 p/s,65.3 p/s,80.0 p/s,62.5 p/s,82.3 p/s,70.8 p/s,86.4 p/s,69.5 p/s,86.0 p/s,57.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:52:30,88.5 p/s,51.8 p/s,89.9 p/s,63.7 p/s,78.9 p/s,66.1 p/s,82.1 p/s,67.8 p/s,84.5 p/s,68.8 p/s,85.3 p/s,51.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:53:00,89.6 p/s,52.8 p/s,84.9 p/s,65.5 p/s,78.4 p/s,59.6 p/s,79.7 p/s,61.9 p/s,85.5 p/s,69.0 p/s,88.9 p/s,52.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:53:30,87.9 p/s,60.5 p/s,83.2 p/s,62.7 p/s,83.8 p/s,61.0 p/s,82.8 p/s,60.8 p/s,88.2 p/s,68.1 p/s,89.6 p/s,54.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:54:00,85.9 p/s,55.9 p/s,86.6 p/s,63.2 p/s,83.4 p/s,58.7 p/s,84.6 p/s,62.2 p/s,91.4 p/s,70.7 p/s,87.4 p/s,64.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:54:30,84.7 p/s,55.2 p/s,88.9 p/s,57.1 p/s,83.7 p/s,58.6 p/s,85.6 p/s,66.8 p/s,91.4 p/s,71.7 p/s,83.7 p/s,68.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:55:00,80.1 p/s,50.5 p/s,87.9 p/s,62.9 p/s,78.1 p/s,54.1 p/s,81.7 p/s,61.7 p/s,85.8 p/s,71.6 p/s,82.1 p/s,69.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:55:30,79.6 p/s,52.9 p/s,85.9 p/s,64.0 p/s,79.7 p/s,53.0 p/s,80.6 p/s,58.3 p/s,88.3 p/s,69.8 p/s,83.5 p/s,64.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:56:00,81.2 p/s,55.8 p/s,86.2 p/s,64.4 p/s,79.1 p/s,53.4 p/s,80.0 p/s,50.6 p/s,85.7 p/s,63.4 p/s,83.2 p/s,68.4 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:56:30,84.1 p/s,56.8 p/s,89.4 p/s,64.6 p/s,84.6 p/s,60.1 p/s,81.5 p/s,54.3 p/s,90.4 p/s,63.9 p/s,80.8 p/s,66.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:57:00,82.2 p/s,60.4 p/s,85.6 p/s,60.3 p/s,84.0 p/s,61.6 p/s,78.1 p/s,57.8 p/s,87.6 p/s,57.7 p/s,76.3 p/s,66.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:57:30,80.4 p/s,57.3 p/s,86.7 p/s,58.1 p/s,88.7 p/s,63.0 p/s,76.2 p/s,54.9 p/s,95.4 p/s,56.0 p/s,76.5 p/s,55.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:58:00,79.9 p/s,54.4 p/s,84.4 p/s,56.9 p/s,82.3 p/s,55.7 p/s,76.4 p/s,55.5 p/s,92.3 p/s,47.4 p/s,80.6 p/s,56.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:58:30,82.8 p/s,49.8 p/s,89.5 p/s,56.4 p/s,83.8 p/s,55.0 p/s,79.9 p/s,53.4 p/s,91.6 p/s,57.2 p/s,80.6 p/s,55.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:59:00,81.2 p/s,50.5 p/s,86.0 p/s,52.4 p/s,81.5 p/s,46.8 p/s,77.3 p/s,52.2 p/s,84.1 p/s,70.3 p/s,80.8 p/s,55.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:59:30,79.8 p/s,57.7 p/s,86.7 p/s,47.9 p/s,83.0 p/s,51.4 p/s,77.6 p/s,51.5 p/s,85.8 p/s,75.3 p/s,80.8 p/s,50.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
